YP_788106.1	502347.ESCAB7627_0420	1.5e-37	160.2			K18923		bactNOG[38]	05YYQ@bactNOG,0QVZV@gproNOG,17KNP@proNOG,COG2161@NOG	NA|NA|NA	D	prevent-host-death family
YP_001711922.1	502347.ESCAB7627_0420	1.5e-37	160.2			K18923		bactNOG[38]	05YYQ@bactNOG,0QVZV@gproNOG,17KNP@proNOG,COG2161@NOG	NA|NA|NA	D	prevent-host-death family
YP_001965408.1	502347.ESCAB7627_0420	1.5e-37	160.2			K18923		bactNOG[38]	05YYQ@bactNOG,0QVZV@gproNOG,17KNP@proNOG,COG2161@NOG	NA|NA|NA	D	prevent-host-death family
YP_001965471.1	155864.L7063	7.1e-51	204.9	CCDB		K19163		bactNOG[38]	05PPN@bactNOG,0QURT@gproNOG,11TW2@NOG,17HXP@proNOG	NA|NA|NA	K	plasmid maintenance protein CcdB
YP_002418657.1	502347.ESCAB7627_0420	1.5e-37	160.2			K18923		bactNOG[38]	05YYQ@bactNOG,0QVZV@gproNOG,17KNP@proNOG,COG2161@NOG	NA|NA|NA	D	prevent-host-death family
YP_002418658.1	218491.ECA0063	7.6e-41	171.4	RELE		K06218		bactNOG[38]	05K4U@bactNOG,0QWGQ@gproNOG,17FBJ@proNOG,COG2026@NOG	NA|NA|NA	D, J	addiction module toxin, RelE StbE family
YP_002418659.1	155864.Z2984	4.5e-56	223.0			K00640		bactNOG[38]	05JB2@bactNOG,0QT5H@gproNOG,17EVX@proNOG,COG1045@NOG	NA|NA|NA	E	colanic acid biosynthesis acetyltransferase wcaB
YP_002418663.1	529507.PMI1910	9.6e-15	84.3	IMM				bactNOG[38]	06284@bactNOG,0QX74@gproNOG,127EJ@NOG,17NGN@proNOG	NA|NA|NA	S	Colicin immunity protein
YP_002418672.1	198214.SF1843	2.4e-45	186.4	SF0313		K07483		bactNOG[38]	060RQ@bactNOG,0QXMT@gproNOG,17P68@proNOG,COG2963@NOG	NA|NA|NA	L	is600 orf1
YP_002418674.1	634503.NT01EI_1335	3.8e-69	266.2					bactNOG[38]	08V4V@bactNOG,0QQYZ@gproNOG,17B6B@proNOG,COG0110@NOG	NA|NA|NA	S	acetyltransferase
YP_002418675.1	399739.Pmen_3762	3.6e-19	99.4	YACB				bactNOG[38]	05VJR@bactNOG,0QYNN@gproNOG,17Q3A@proNOG,COG3668@NOG	NA|NA|NA	S	addiction module toxin, RelE StbE family
YP_002418676.1	412597.PaTRP_010100017863	2.5e-17	93.2	YACA				bactNOG[38]	024BA@aproNOG,062JE@bactNOG,128T8@NOG,17P1I@proNOG	NA|NA|NA		
YP_002418682.1	406818.XBJ1_4380	7.3e-31	138.7	DOC	GO:0008150,GO:0008219,GO:0009987,GO:0016265,GO:0044699,GO:0044763	K07341		bactNOG[38]	07ZD0@bactNOG,0QRZC@gproNOG,16W3R@proNOG,COG3654@NOG	NA|NA|NA	S	Death ON curing protein
YP_002418683.1	290339.ESA_04288	2.7e-09	66.2			K19165		bactNOG[38]	060M8@bactNOG,0QXFB@gproNOG,17PCP@proNOG,COG2161@NOG	NA|NA|NA	D	Pfam:PhdYeFM
